,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
70117,최경환,95,1972년 05월 12일,(좌투좌타),181cm/81kg,남부초-성남중-성남고-경희대-LG-두산-롯데-KIA,,,,94보스턴
70121,경헌호,74,1977년 07월 25일,(우투우타),181cm/98kg,신남초-신월중-선린상고-한양대-LG,,,,00LG
70122,최승환,83,1978년 02월 25일,(우투우타),186cm/100kg,둔촌초-배재중-배재고-연세대-LG-상무-LG-두산-한화,,,96 LG 2차우선,00LG
70123,테이텀,23,1967년 10월 09일,내야수(우투우타),185cm/88kg,미국 산타나고,,,,
70124,쿡슨,23,1969년 09월 07일,외야수(우투우타),180cm/92kg,미국 롱비치대,,,,
70135,장준관,62,1981년 04월 14일,투수(우투우타),185cm/87kg,대구중앙초-경상중-대구상고,,,,
70142,김광수,55,1981년 05월 05일,투수(우투우타),182cm/84kg,인천숭의초-상인천중-인천고-LG-한화,,,00 LG 2차 2라운드 11순위,00LG
70143,해리거,24,1969년 07월 21일,투수(우투우타),180cm/82kg,미국 포드씨티고,,,,
70148,윤현식,43,1977년 04월 03일,내야수(우투우타),175cm/71kg,신일고-홍익대-LG,,,,
70154,김성준,54,1979년 06월 20일,투수(우투우타),181cm/80kg,경남고-상무,,,,
70164,박재형,19,1977년 04월 09일,투수(우투우타),183cm/88kg,배재고-연세대,,,,
70168,최철영,68,1977년 07월 23일,투수(우투우타),181cm/80kg,경북고-한양대,,,,
70169,이기중,69,1976년 07월 17일,외야수(우투우타),178cm/74kg,선린상고-제주전문대,,,,
70212,표성대,12,1977년 07월 13일,포수(우투우타),182cm/77kg,부산고-동국대,,,,
70220,파머,20,1968년 07월 03일,투수(좌투좌타),186cm/91kg,미국 잭슨대,,,,
70224,강봉규,78,1978년 01월 12일,(우투우타),183cm/88kg,부천초-개성중-경남고-고려대-두산-삼성,,,96 OB 2차 7라운드 57순위,00두산
70231,문상호,91,1981년 07월 12일,투수(우투우타),189cm/100kg,충암고,,,,
70240,정원석,8,1977년 03월 27일,내야수(우투우타),180cm/90kg,역삼초-휘문중-휘문고-동국대-두산-상무-두산,,,96 OB 2차 2라운드 17순위,10한화
70241,장원영,41,1979년 11월 14일,투수(우투우타),190cm/80kg,경남상고-제주관광대,,,,
70249,정진용,49,1977년 12월 01일,투수(우투우타),179cm/85kg,한서고-홍익대,,,,
70251,박찬협,64,1977년 05월 28일,투수(우투우타),179cm/85kg,중앙고-단국대,,,,
70303,장교성,5,1977년 10월 27일,내야수(우투우타),174cm/77kg,인천고-건국대,,,,
