,Unnamed: 0,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
0,50001,강병철,80.0,1946년 08월 12일,(우투우타),176cm/80kg,동신초-대신중-부산상고-우석대,,,,
1,50002,이희수,81.0,1948년 01월 17일,(우투우타),170cm/68kg,성남고-농협,,,,
2,50003,이충순,,1900년 01월 01일,(),0cm/0kg,,,,,
3,50004,백기성,78.0,1949년 03월 27일,(우투우타),173cm/75kg,배문고,,,,
4,50007,문상준,107.0,2001년 03월 14일,내야수(우투우타),183cm/80kg,가동초-휘문중-휘문고,4000만원,2700만원,20 KT 2차 8라운드 72순위,
5,50008,여도건,108.0,2000년 03월 15일,투수(좌투좌타),182cm/95kg,대구호산초(달서구꾸러기리틀)-경상중-대구고,3000만원,2700만원,20 KT 2차 9라운드 82순위,
6,50009,최지효,109.0,2001년 08월 10일,내야수(우투우타),170cm/80kg,수원수일초(수원권선구리틀)-매향중-장안고,3000만원,2700만원,20 KT 2차 10라운드 92순위,20KT
7,50010,고영찬,110.0,1999년 08월 14일,투수(우투우타),183cm/78kg,상인천초-동인천중-인천고-강릉영동대,,2700만원,20 KT 육성선수,
8,50011,최태성,111.0,1997년 02월 12일,외야수(우투좌타),182cm/82kg,희망대초-모가중-야탑고-홍익대,,2700만원,20 KT 육성선수,
9,50012,이승주,112.0,1997년 11월 12일,외야수(우투우타),180cm/83kg,수유초-영남중-상우고-원광대,,2700만원,20 KT 육성선수,
10,50013,김경민,113.0,1997년 09월 26일,외야수(우투좌타),174cm/87kg,사당초-언북중-경기고-성균관대,,2700만원,20 KT 육성선수,
11,50014,윤종휘,114.0,1996년 10월 29일,내야수(우투우타),168cm/70kg,동막초-재능중-장안고-홍익대,,2700만원,20 KT 육성선수,
12,50015,박성현,115.0,1997년 01월 01일,내야수(우투우타),175cm/84kg,서일초-언북중-선린인터넷고-한양대,,2700만원,20 KT 육성선수,
13,50030,소형준,30.0,2001년 09월 16일,투수(우투우타),189cm/92kg,호암초(의정부리틀)-구리인창중-유신고,36000만원,2700만원,20 KT 1차,20KT
14,50036,이강준,36.0,2001년 12월 14일,투수(우투우타),184cm/80kg,서당초-설악중-설악고,9000만원,2700만원,20 KT 2차 3라운드 22순위,20KT
15,50040,데스파이네,40.0,1987년 04월 04일,투수(우투우타),182cm/92kg,미국 Hermanos Martinez Tamayo(고),300000달러,450000달러,20 KT 자유선발,20KT
16,50054,천성호,54.0,1997년 10월 30일,내야수(우투좌타),183cm/85kg,광주화정초-충장중-진흥고-단국대,10000만원,2700만원,20 KT 2차 2라운드 12순위,20KT
17,50066,강현우,66.0,2001년 04월 13일,포수(우투우타),180cm/90kg,원종초(부천시리틀)-부천중-유신고,15000만원,2700만원,20 KT 2차 1라운드 2순위,20KT
