,link,player
0,player.php?name=%EC%A0%95%EB%AF%BC%EC%B2%A0&birth=1972-03-28,정민철
1,player.php?name=%EA%B9%80%ED%98%84%EC%9A%B1&birth=1970-07-06,김현욱
2,player.php?name=%EC%9E%84%EC%B0%BD%EC%9A%A9&birth=1976-06-04,임창용
3,player.php?name=%EC%A0%95%EB%AF%BC%ED%83%9C&birth=1970-03-01,정민태
4,player.php?name=%EB%B0%95%EC%A7%80%EC%B2%A0&birth=1975-04-13,박지철
5,player.php?name=%EC%9D%B4%EB%8C%80%EC%A7%84&birth=1974-06-09,이대진
6,player.php?name=%EC%9D%B4%EC%83%81%ED%9B%88&birth=1971-03-11,이상훈
7,player.php?name=%EA%B5%AC%EB%8C%80%EC%84%B1&birth=1969-08-02,구대성
8,player.php?name=%EC%9D%B4%EA%B0%95%EC%B2%A0&birth=1966-05-24,이강철
9,player.php?name=%EA%B9%80%EC%9B%90%ED%98%95&birth=1972-07-05,김원형
10,player.php?name=%EA%B9%80%EC%9A%A9%EC%88%98&birth=1960-05-02,김용수
11,player.php?name=%EA%B9%80%EA%B2%BD%EC%9B%90&birth=1971-08-13,김경원
12,player.php?name=%EC%B0%A8%EB%AA%85%EC%84%9D&birth=1969-04-20,차명석
13,player.php?name=%EA%B9%80%EC%83%81%EC%A7%84&birth=1970-03-15,김상진
14,player.php?name=%EA%B9%80%EC%83%81%EC%97%BD&birth=1970-05-11,김상엽
15,player.php?name=%EC%A1%B0%EA%B7%9C%EC%A0%9C&birth=1967-10-07,조규제
16,player.php?name=%EA%B9%80%EC%83%81%EC%A7%84&birth=1977-03-09,김상진
17,player.php?name=%EC%84%B1%EC%98%81%EC%9E%AC&birth=1971-03-09,성영재
18,player.php?name=%EC%A0%95%EB%AA%85%EC%9B%90&birth=1966-06-14,정명원
19,player.php?name=%EB%B0%95%EB%AA%85%ED%99%98&birth=1977-06-07,박명환
20,player.php?name=%EC%9E%84%EC%84%A0%EB%8F%99&birth=1973-08-04,임선동
