,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
0,50001,강병철_1946년 08월 12일,(우투우타),176cm,80kg,0,0
1,50002,이희수_1948년 01월 17일,(우투우타),170cm,68kg,0,0
2,50003,이충순_1900년 01월 01일,(),0cm,0kg,0,0
3,50004,백기성_1949년 03월 27일,(우투우타),173cm,75kg,0,0
4,50007,문상준_2001년 03월 14일,내야수(우투우타),183cm,80kg,2700만원,0
5,50008,여도건_2000년 03월 15일,투수(좌투좌타),182cm,95kg,2700만원,0
6,50009,최지효_2001년 08월 10일,내야수(우투우타),170cm,80kg,2700만원,20KT
7,50010,고영찬_1999년 08월 14일,투수(우투우타),183cm,78kg,2700만원,0
8,50011,최태성_1997년 02월 12일,외야수(우투좌타),182cm,82kg,2700만원,0
9,50012,이승주_1997년 11월 12일,외야수(우투우타),180cm,83kg,2700만원,0
10,50013,김경민_1997년 09월 26일,외야수(우투좌타),174cm,87kg,2700만원,0
11,50014,윤종휘_1996년 10월 29일,내야수(우투우타),168cm,70kg,2700만원,0
12,50015,박성현_1997년 01월 01일,내야수(우투우타),175cm,84kg,2700만원,0
13,50030,소형준_2001년 09월 16일,투수(우투우타),189cm,92kg,2700만원,20KT
14,50036,이강준_2001년 12월 14일,투수(우투우타),184cm,80kg,2700만원,20KT
15,50040,데스파이네_1987년 04월 04일,투수(우투우타),182cm,92kg,450000달러,20KT
16,50054,천성호_1997년 10월 30일,내야수(우투좌타),183cm,85kg,2700만원,20KT
17,50066,강현우_2001년 04월 13일,포수(우투우타),180cm,90kg,2700만원,20KT
18,50092,윤준혁_2001년 07월 26일,내야수(우투우타),186cm,86kg,2700만원,20KT
19,50093,김성균_2001년 07월 06일,내야수(좌투좌타),185cm,93kg,2700만원,0
20,50094,서경찬_2001년 03월 08일,투수(우투우타),188cm,96kg,2700만원,0
21,50096,한지용_2001년 07월 20일,포수(우투좌타),184cm,90kg,2700만원,20KT
22,50098,이상원_1980년 12월 01일,(),183cm,115kg,0,20KT코치
23,50099,강권민_1988년 02월 23일,(),174cm,72kg,0,20KT코치
24,50101,신익섭_1992년 10월 05일,(),167cm,68kg,0,20상무코치
25,50105,강민_2001년 04월 20일,투수(우투우타),188cm,88kg,2700만원,0
26,50106,유영찬_1997년 03월 07일,투수(우투우타),185cm,90kg,2700만원,0
27,50107,하영진_2001년 02월 28일,투수(우투우타),182cm,80kg,2700만원,0
28,50108,함창건_2001년 08월 18일,외야수(좌투좌타),176cm,83kg,2700만원,0
29,50109,성재헌_1997년 12월 22일,투수(좌투좌타),175cm,82kg,2700만원,0
30,50110,이정우_2001년 02월 28일,외야수(우투우타),182cm,84kg,2700만원,0
31,50112,박찬호_2001년 01월 03일,투수(우투우타),190cm,82kg,2700만원,0
32,50114,조용근_1996년 01월 01일,투수(우투우타),187cm,100kg,2700만원,0
33,50115,김태우_1997년 10월 19일,내야수(우투우타),178cm,81kg,2700만원,0
34,50116,김도환_1999년 09월 10일,외야수(좌투좌타),180cm,80kg,2700만원,0
35,50126,이민호_2001년 08월 30일,투수(우투우타),189cm,93kg,2700만원,20LG
36,50150,손호영_1994년 08월 23일,내야수(우투우타),182cm,88kg,2700만원,20LG
37,50157,김윤식_2000년 04월 03일,투수(좌투좌타),181cm,83kg,2700만원,20LG
38,50165,라모스_1994년 12월 28일,내야수(우투좌타),193cm,115kg,300000달러,20LG
39,50167,이주형_2001년 04월 02일,내야수(우투좌타),183cm,80kg,2700만원,20LG
40,50200,장원석_1994년 08월 16일,(),174cm,75kg,0,20두산코치
41,50201,조광희_1994년 01월 07일,(),178cm,71kg,0,20두산코치
42,50202,안권수_1993년 04월 19일,외야수(우투좌타),175cm,80kg,2700만원,20두산
43,50203,권휘_2000년 12월 07일,투수(우투우타),181cm,87kg,2700만원,0
