ID,YEAR,TEAM,AGE,GP,CG,SO,GS,W,L,SV,HLD,IP,R,ER,BF,H,H2,H3,HR,BB,IBB,K,BK,WP,WAR,WPA,ERA,FIP,WHIP,ERA_PLUS,FIP_PLUS,WAR
50030,2020,'KT',19,13,0,0,13,6,5,0,0,70.2,43,38,303,75,15,0,6,20,0,3,39,0,1,4.84,4.59,1.34,100.2,104.1,0.36,-0.93
50036,2020,'KT',19,4,0,0,0,0,0,0,0,5.2,4,4,33,9,1,1,1,5,0,3,3,0,0,6.35,9.08,2.47,76.3,52.2,0.03,-0.05
50040,2020,'KT',33,19,0,0,19,10,5,0,0,116,55,52,498,126,22,1,10,32,0,6,95,0,8,4.03,4.08,1.36,120.1,117.1,2.17,0.68
50126,2020,'LG',19,10,0,0,8,3,2,0,0,51,16,14,221,41,6,0,1,23,1,7,37,1,3,2.47,4.12,1.26,189.8,115.7,1.83,0.75
50157,2020,'LG',20,13,0,0,3,0,2,0,1,25.2,22,21,119,32,3,0,5,9,0,4,16,0,1,7.36,6.42,1.6,63.7,72.3,-0.31,-0.62
50234,2020,'µÎ»ê',26,12,0,0,12,4,3,0,0,64,29,27,270,61,11,0,3,21,2,1,59,0,3,3.8,3.32,1.28,124,142.1,1.43,0.01
50296,2020,'µÎ»ê',19,4,0,0,1,0,1,0,0,5,7,7,27,5,1,0,1,7,0,1,6,0,1,12.6,8.61,2.4,37.4,54.1,-0.25,-0.4
50360,2020,'Å°¿ò',19,4,0,0,0,0,1,0,0,3.1,3,3,16,4,0,1,0,1,0,1,5,0,1,8.1,2.41,1.5,58.6,200.4,-0.03,-0.12
50636,2020,'KIA',30,17,1,1,17,7,4,0,0,110.2,33,32,434,98,16,0,3,21,0,2,90,1,3,2.6,2.96,1.08,191.1,165.8,4.83,2.36
50640,2020,'KIA',30,15,0,0,15,6,4,0,0,84,42,36,365,78,19,5,2,33,0,5,81,0,5,3.86,3.35,1.32,128.9,146.6,1.67,-0.27
50662,2020,'KIA',19,16,0,0,0,3,0,0,1,15.1,2,2,56,9,2,0,1,5,0,1,17,0,2,1.17,3.42,0.91,423.6,144.9,0.85,0.09
50705,2020,'ÇÑÈ­',23,21,0,0,0,0,0,0,4,20.2,8,6,90,17,5,0,0,10,1,0,28,1,1,2.61,2.21,1.31,184,218.6,0.71,0.22
50726,2020,'ÇÑÈ­',19,1,0,0,1,0,0,0,0,1.2,3,3,10,3,0,0,1,2,0,0,2,0,0,16.2,12.61,3,29.7,38.6,-0.14,-0.22
50835,2020,'SK',26,17,0,0,17,4,8,0,0,90.2,67,57,442,120,23,1,5,52,2,8,50,1,6,5.66,5.15,1.9,85.1,94.4,-0.26,-1.55
50900,2020,'NC',19,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,null,null,null,null,null,0,-0.01
60105,2016,'LG',25,2,0,0,0,0,0,0,0,5.2,4,4,23,5,1,0,3,1,0,0,1,0,0,6.35,10.85,1.06,80.1,43.7,0.05,-0.01
60105,2017,'LG',26,4,0,0,0,0,0,0,0,3.2,4,4,19,6,1,0,1,4,0,0,2,0,0,9.82,9.46,2.73,49.3,50.4,-0.07,-0.07
60105,2018,'LG',27,8,0,0,0,0,0,0,0,11,2,2,51,9,3,0,0,4,0,2,11,0,3,1.64,3.47,1.18,308.3,148.9,0.34,0.02
60139,2010,'LG',29,15,0,0,15,4,6,0,0,61.1,58,56,300,83,null,null,10,37,0,3,29,0,6,8.22,6.42,1.96,55.3,70.9,-0.62,null
60140,2010,'LG',23,24,0,0,0,0,1,0,2,25.2,23,18,129,25,null,null,1,22,0,6,24,0,1,6.31,5.2,1.83,72,87.5,0.02,null
60140,2011,'LG',24,11,0,0,0,0,0,0,1,17.2,4,2,74,12,null,null,0,8,0,1,19,0,2,1.02,2.57,1.13,402.5,159.6,0.62,null
60140,2012,'LG',25,1,0,0,0,0,0,0,0,0.2,1,0,3,0,null,null,0,1,1,0,0,0,2,0,3.1,1.5,null,123.1,-0.01,null
60140,2013,'LG',26,26,0,0,21,9,5,0,0,122.2,62,58,525,128,null,null,8,30,0,16,82,0,1,4.26,3.99,1.29,99.7,106.5,2.26,null
60140,2014,'LG',27,15,0,0,7,1,3,0,0,51.1,38,38,220,53,7,1,8,16,1,5,39,0,1,6.66,5.53,1.34,74.3,89.4,0.46,-0.44
60140,2017,'LG',30,63,0,0,0,3,5,10,12,59,42,35,265,61,8,2,4,24,3,10,58,0,5,5.34,4.23,1.44,90.6,115,-0.22,-1.42
60140,2018,'LG',31,49,0,0,1,3,7,0,5,50.2,37,33,227,59,8,0,5,17,0,6,56,0,3,5.86,4.27,1.5,86.1,117.5,0.02,-1.14
60140,null,'ÇÑÈ­',32,21,0,0,0,4,0,0,1,25.2,11,9,109,21,4,0,2,12,0,2,16,0,0,3.16,4.81,1.29,131.3,86.8,0.51,0.48
60140,null,'LG',32,23,0,0,1,1,1,0,4,19,22,20,98,27,4,0,4,9,0,4,19,0,4,9.47,6.19,1.9,43.3,64.4,-1.21,-0.77
60140,2020,'ÇÑÈ­',33,16,0,0,0,0,1,0,0,12,12,12,57,15,3,1,2,7,0,2,14,0,2,9,5.7,1.83,53.4,85.2,-0.15,-0.23
60146,2015,'LG',24,15,0,0,0,0,0,0,0,15.1,10,10,71,14,2,1,1,10,0,1,21,0,0,5.87,3.88,1.57,80,122.7,0.11,-0.05
60146,2016,'LG',25,38,0,0,0,3,1,0,3,41,28,25,191,46,7,0,5,23,1,4,29,0,1,5.49,5.87,1.68,92.7,85,0.04,-0.58
60146,2017,'»ï¼º',26,30,0,0,0,2,0,0,0,31.2,21,18,156,36,5,2,9,22,0,1,25,1,1,5.12,8.03,1.83,99.2,63.2,0.3,-0.13
