id,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
50030,,,,,,,,,,,,,,,,,,,,,,,,2700
50036,,,,,,,,,,,,,,,,,,,,,,,,2700
50040,,,,,,,,,,,,,,,,,,,,,,,,45000
50054,,,,,,,,,,,,,,,,,,,,,,,,2700
50066,,,,,,,,,,,,,,,,,,,,,,,,2700
50126,,,,,,,,,,,,,,,,,,,,,,,,2700
50150,,,,,,,,,,,,,,,,,,,,,,,,2700
50157,,,,,,,,,,,,,,,,,,,,,,,,2700
50165,,,,,,,,,,,,,,,,,,,,,,,,30000
50202,,,,,,,,,,,,,,,,,,,,,,,,2700
50204,,,,,,,,,,,,,,,,,,,,,,,,2700
50208,,,,,,,,,,,,,,,,,,,,,,,,2700
50234,,,,,,,,,,,,,,,,,,,,,,,,60000
50293,,,,,,,,,,,,,,,,,,,,,,,,2700
50296,,,,,,,,,,,,,,,,,,,,,,,,2700
50300,,,,,,,,,,,,,,,,,,,,,,,,
50304,,,,,,,,,,,,,,,,,,,,,,,,
50350,,,,,,,,,,,,,,,,,,,,,,,,
50357,,,,,,,,,,,,,,,,,,,,,,,,
50360,,,,,,,,,,,,,,,,,,,,,,,,
50404,,,,,,,,,,,,,,,,,,,,,,,,60000
50441,,,,,,,,,,,,,,,,,,,,,,,,2700
50449,,,,,,,,,,,,,,,,,,,,,,,,2700
50458,,,,,,,,,,,,,,,,,,,,,,,,2700
50464,,,,,,,,,,,,,,,,,,,,,,,,2700
50468,,,,,,,,,,,,,,,,,,,,,,,,70000
50506,,,,,,,,,,,,,,,,,,,,,,,,30000
50524,,,,,,,,,,,,,,,,,,,,,,,,50000
50556,,,,,,,,,,,,,,,,,,,,,,,,2700
50558,,,,,,,,,,,,,,,,,,,,,,,,50000
50592,,,,,,,,,,,,,,,,,,,,,,,,2700
50600,,,,,,,,,,,,,,,,,,,,,,,,2700
50636,,,,,,,,,,,,,,,,,,,,,,,,47900
50640,,,,,,,,,,,,,,,,,,,,,,,,65000
50662,,,,,,,,,,,,,,,,,,,,,,,,2700
50704,,,,,,,,,,,,,,,,,,,,,,,,
50705,,,,,,,,,,,,,,,,,,,,,,,,
50707,,,,,,,,,,,,,,,,,,,,,,,,
50709,,,,,,,,,,,,,,,,,,,,,,,,
50726,,,,,,,,,,,,,,,,,,,,,,,,2700
