,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
0,주권,20K,40,40,0,0,0,4,2,0,16,39.1,16,15,166,34,7,0,4,15,1,0,27,0,0,3.43,4.62,1.25,140.8,103.2,1.35,0.44
1,배재환,20N,40,40,0,0,0,1,3,0,12,33.1,16,14,157,29,6,2,2,24,3,5,27,1,4,3.78,5.10,1.59,129.6,94.3,0.86,-1.49
2,진해수,20L,39,39,0,0,0,1,1,0,15,26.2,11,10,119,30,3,0,1,10,0,2,28,0,1,3.38,3.34,1.50,138.6,141.6,0.79,-0.26
3,김윤수,20삼,37,37,0,0,0,2,2,0,8,37.2,18,15,164,35,5,0,3,16,2,1,24,0,3,3.58,4.56,1.35,139.1,107.9,0.90,-0.38
4,최지광,20삼,37,37,0,0,0,1,0,0,12,33.1,10,10,144,20,5,0,0,23,3,3,37,0,4,2.70,3.45,1.29,184.6,140.9,1.65,0.97
5,서진용,20S,36,36,0,0,0,0,5,2,10,33.1,20,16,143,27,4,0,6,16,1,1,37,0,5,4.32,5.16,1.29,111.1,95.4,0.41,-1.25
6,이현승,20두,36,36,0,0,0,2,0,2,6,28.0,15,13,123,29,6,0,1,12,0,1,27,1,2,4.18,3.53,1.46,112.2,133.7,0.55,0.25
7,임정호,20N,36,36,0,0,0,2,2,0,11,25.0,14,12,105,17,3,0,1,12,0,3,16,0,0,4.32,4.64,1.16,113.4,104.0,0.43,0.72
8,김정빈,20S,35,35,0,0,0,0,0,1,9,31.1,18,15,140,21,6,0,1,25,0,3,34,0,4,4.31,4.52,1.47,111.4,106.9,0.46,0.40
9,박민호,20S,35,35,0,0,0,1,0,4,5,31.0,8,7,128,23,6,0,1,11,0,2,24,0,0,2.03,3.73,1.10,236.1,129.9,1.53,0.39
10,이영준,20키,35,35,0,0,0,1,3,0,17,28.0,13,13,118,28,2,0,4,10,0,1,23,1,2,4.18,4.99,1.36,113.4,93.7,0.73,1.22
11,정우영,20L,34,34,0,0,0,2,1,5,9,44.0,13,13,175,28,3,0,2,13,3,4,33,0,1,2.66,3.64,0.93,175.9,129.4,2.00,1.85
12,홍건희,20K두,34,34,0,0,0,1,2,1,8,41.0,22,21,171,39,7,3,7,11,0,2,39,0,2,4.61,4.87,1.22,103.5,96.4,0.78,-0.90
13,박진우,20N,34,34,0,0,0,2,1,0,6,31.2,18,16,137,31,5,0,1,8,1,5,14,0,0,4.55,4.26,1.23,107.7,113.1,0.42,0.11
14,전상현,20K,33,33,0,0,0,1,0,7,12,34.0,9,6,134,19,2,0,2,16,0,0,45,0,2,1.59,3.13,1.03,312.4,158.5,1.84,1.91
